,t_measure10,t_measure15,t_measure30,t_precision10,t_precision15,t_precision30,t_recall10,t_recall15,t_recall30,track_id
389,0.11468252726947543,0.13915390985805445,0.18779057763522086,0.07300538677009262,0.08775341094959188,0.11797459145591756,0.2672489927055866,0.33590789709502944,0.4600323565961773,SALAMI_318
390,0.0501034040363331,0.07180757536103297,0.11997446175371175,0.03495481757986595,0.04929610830389059,0.08083650111257777,0.08842446285256743,0.1321590974255449,0.23258165876756495,SALAMI_32
391,0.019585777379123384,0.034884714134338204,0.09368575427278333,0.013578675194774266,0.023362851066536072,0.061824480852969106,0.03512465759784576,0.0688292548650815,0.19330617839078942,SALAMI_320
392,0.1559784600266425,0.19067985861560108,0.25861909524495913,0.10779769214216786,0.131768275425692,0.17556423203235322,0.2820359859908687,0.3448627072840445,0.49080718444909693,SALAMI_322
393,0.3085496279015209,0.33840449157410235,0.3915475935858672,0.24395424398001359,0.26703303277158036,0.30124687632356134,0.41967255579387924,0.46184427455769866,0.5591592187535316,SALAMI_324
394,0.05958575193831086,0.08341262897611194,0.1383608478031323,0.037587067251740804,0.051981520575310705,0.0840259603884015,0.14367453813681172,0.21098921289475392,0.3915622425340167,SALAMI_326
395,0.12372440290384043,0.151382191550761,0.21586172394184697,0.13721223020758627,0.17294508726058422,0.2285382058673367,0.11265092750386867,0.13460016359034477,0.2045176085938459,SALAMI_328
396,0.09900781890006943,0.12392889147939798,0.19186640017345089,0.062317701826310114,0.07753251558951654,0.1203826093087659,0.24075385161193263,0.30859698097804134,0.47235042944796884,SALAMI_330
397,0.14331288667433872,0.17513384127824635,0.2394596988033512,0.17675001322938108,0.20896981530528377,0.26969885267380084,0.12051429331789862,0.1507282283765064,0.21531784775448198,SALAMI_332
398,0.09022853576646195,0.11899877409913677,0.24034075349421397,0.07046579552592715,0.0935556782389758,0.18685131759867152,0.12539728653699242,0.16345013845656403,0.33673779860889375,SALAMI_334
399,0.09955806317134575,0.13824870682790688,0.2303815820233713,0.06297735446797548,0.08728100032938399,0.14717301889451162,0.23752652099813917,0.3322883757773761,0.5300749067309372,SALAMI_336
400,0.11673482197520915,0.17663430285518614,0.28012582584766504,0.10206725327699168,0.15503787592755747,0.24212595269162837,0.13632546499695058,0.20522114632184163,0.33227372323617715,SALAMI_338
401,0.1318626538345789,0.14371838185691713,0.18154067956340905,0.09160984371665483,0.09961170604565633,0.1255686587172396,0.23521446359681644,0.25792316743964594,0.32754196657636536,SALAMI_34
402,0.4065593798467916,0.432983588390545,0.47172143292127006,0.4482504956209122,0.4780194308565301,0.514815332797379,0.3719635958185989,0.39570305290669755,0.43528483175173743,SALAMI_340
